ID,Title,Author,Genre,Available Copies
61,The Hunger Games, Suzanne Collins,Young Adult,2
62,Harry Potter and the Sorcerer's Stone, J.K. Rowling,Young Adult,5
63,The Fault in Our Stars, John Green,Young Adult,1
64,The Maze Runner, James Dashner,Young Adult,1
65,Divergent, Veronica Roth,Young Adult,2
66,The Percy Jackson & the Olympians series, Rick Riordan (Starting with The Lightning Thief),Young Adult,4
67,The Twilight Saga, Stephenie Meyer (Starting with Twilight),Young Adult,5
68,To All the Boys I've Loved Before, Jenny Han,Young Adult,2
69,The Giver, Lois Lowry,Young Adult,4
70,The Mortal Instruments series, Cassandra Clare (Starting with City of Bones),Young Adult,3
71,The Perks of Being a Wallflower, Stephen Chbosky,Young Adult,4
72,Thirteen Reasons Why, Jay Asher,Young Adult,1
73,The Book Thief, Markus Zusak,Young Adult,1
74,The Selection series, Kiera Cass (Starting with The Selection),Young Adult,1
75,Eleanor & Park, Rainbow Rowell,Young Adult,2
76,The Lunar Chronicles series, Marissa Meyer (Starting with Cinder),Young Adult,4
77,The Giver Quartet, Lois Lowry (Starting with The Giver),Young Adult,1
78,The 5th Wave, Rick Yancey,Young Adult,5
79,The Uglies series, Scott Westerfeld (Starting with Uglies),Young Adult,2
80,Miss Peregrine's Home for Peculiar Children, Ransom Riggs,Young Adult,2
