ID,Title,Author,,Available Copies
41,The Hobbit, J.R.R. Tolkien,,1
42,The Lord of the Rings series, J.R.R. Tolkien (Starting with The Fellowship of the Ring),,3
43,Harry Potter and the Sorcerer's Stone, J.K. Rowling,,3
44,A Song of Ice and Fire series, George R.R. Martin (Starting with A Game of Thrones),,1
45,The Name of the Wind, Patrick Rothfuss,,1
46,Mistborn: The Final Empire, Brandon Sanderson,,3
47,The Wheel of Time series, Robert Jordan (Starting with The Eye of the World),,4
48,The Chronicles of Narnia series, C.S. Lewis (Starting with The Lion,,3
49,The Lies of Locke Lamora, Scott Lynch,,1
50,Good Omens, Neil Gaiman and Terry Pratchett,,1
51,The Way of Kings, Brandon Sanderson,,2
52,The Earthsea Cycle series, Ursula K. Le Guin (Starting with A Wizard of Earthsea),,1
53,The Belgariad series, David Eddings (Starting with Pawn of Prophecy),,3
54,The Kingkiller Chronicle series, Patrick Rothfuss (Starting with The Name of the Wind),,3
55,The Magicians, Lev Grossman,,4
56,The Dark Tower series, Stephen King (Starting with The Gunslinger),,5
57,The Broken Earth trilogy, N.K. Jemisin (Starting with The Fifth Season),,2
58,The Priory of the Orange Tree, Samantha Shannon,,3
59,The Inheritance Trilogy, N.K. Jemisin (Starting with The Hundred Thousand Kingdoms),,1
60,The Witcher series, Andrzej Sapkowski (Starting with The Last Wish),,1
